customer_id,customer_name,city,acquisition_channel,signup_date,total_orders,completed_orders,total_revenue,avg_order_value,first_order_date,last_order_date,most_recent_order
C1656,Chasmum Tella,Ahmedabad,social_media,2022-12-17,4,2,8978.71,4489.36,2023-05-31,2024-05-01,2024-05-01
C0414,Vedant Upadhyay,Delhi,referral,2023-03-31,2,2,6514.08,3257.04,2024-06-30,2024-06-30,2024-06-30
C1161,Shaurya Sarna,Hyderabad,email,2023-12-30,8,7,51592.71,7370.39,2024-01-27,2024-06-30,2024-06-30
C1335,Shivansh Warrior,Mumbai,paid_search,2022-04-15,3,1,4719.72,4719.72,2022-11-14,2024-01-25,2024-01-25
C0549,Yauvani Mistry,Kolkata,organic,2022-01-28,7,3,25116.8,8372.27,2022-02-08,2023-11-13,2023-11-13
C0114,Arunima Golla,Jaipur,paid_search,2023-02-14,6,3,6636.13,2212.04,2023-05-11,2024-06-30,2024-06-30
C0519,Barkha Comar,Pune,referral,2023-01-21,6,2,6348.81,3174.41,2023-06-11,2024-06-30,2024-06-30
C1686,Reva Shan,Surat,paid_search,2022-11-11,7,5,37628.02,7525.6,2022-11-22,2024-06-30,2024-06-30
C1470,Rachit Loke,Chennai,paid_search,2022-12-30,3,2,5416.4,2708.2,2023-02-17,2024-03-07,2024-03-07
C0929,Ijaya Pandey,Mumbai,email,2022-11-08,8,5,13535.07,2707.01,2023-01-07,2024-06-30,2024-06-30
C1291,Faraj Khatri,Kolkata,organic,2024-06-17,4,3,3882.4,1294.13,2024-06-30,2024-06-30,2024-06-30
C0176,Nakul Pingle,Ahmedabad,email,2024-05-10,6,2,5218.13,2609.07,2024-05-21,2024-06-30,2024-06-30
C1189,Krishna Jaggi,Jaipur,paid_search,2023-08-03,8,5,17301.13,3460.23,2023-12-03,2024-06-30,2024-06-30
C0291,Theodore Deol,Mumbai,organic,2024-02-18,12,4,10780.38,2695.1,2024-02-20,2024-06-30,2024-06-30
C0084,Nihal Mukhopadhyay,Jaipur,organic,2022-04-20,6,2,7260.68,3630.34,2022-09-30,2024-01-10,2024-01-10
C1010,Tanvi Tailor,Jaipur,referral,2024-03-04,7,3,13906.98,4635.66,2024-06-28,2024-06-30,2024-06-30
C0265,Yashica Upadhyay,Bengaluru,organic,2024-04-26,7,4,14511.93,3627.98,2024-06-30,2024-06-30,2024-06-30
C1524,Yashica Vora,Jaipur,organic,2022-06-27,4,2,10297.83,5148.92,2022-07-14,2024-06-10,2024-06-10
C0043,Abhiram Mistry,Mumbai,social_media,2023-04-24,4,2,5363.13,2681.57,2023-11-16,2024-06-30,2024-06-30
C1080,Aarnav Das,Chennai,social_media,2023-02-06,5,3,7852.39,2617.46,2023-07-26,2024-06-30,2024-06-30
C0168,Kavya Dua,Surat,email,2024-02-28,4,3,18842.07,6280.69,2024-03-12,2024-06-30,2024-06-30
C0739,Tanvi Koshy,Surat,organic,2022-04-02,6,5,15465.29,3093.06,2023-08-13,2024-03-28,2024-03-28
C0029,Nirja Sibal,Hyderabad,social_media,2023-07-07,7,2,11303.71,5651.86,2024-01-19,2024-06-30,2024-06-30
C0865,Ethan Sinha,Mumbai,social_media,2023-01-18,9,8,14098.82,1762.35,2023-10-02,2024-06-30,2024-06-30
C1821,Zaid Kara,Pune,organic,2023-07-16,4,4,12519.56,3129.89,2024-05-02,2024-06-30,2024-06-30
C0735,Krish Thakkar,Bengaluru,paid_search,2023-07-18,3,0,0.0,,2024-02-29,2024-06-30,2024-06-30
C0686,Qasim Bahl,Jaipur,email,2022-12-14,7,5,12806.01,2561.2,2023-04-17,2024-06-30,2024-06-30
C1035,Vasana Dhillon,Chennai,social_media,2024-02-07,4,1,2767.3,2767.3,2024-05-31,2024-06-30,2024-06-30
C1790,Amol Sarkar,Chennai,referral,2023-02-09,6,5,26700.74,5340.15,2023-02-18,2024-06-30,2024-06-30
C1319,Omya Koshy,Bengaluru,email,2023-04-02,8,4,23346.41,5836.6,2023-05-30,2024-06-30,2024-06-30
C0611,Aarini Gulati,Ahmedabad,referral,2023-01-16,3,0,0.0,,2023-10-11,2024-06-30,2024-06-30
C1511,Aadi Dua,Surat,referral,2022-04-15,5,2,1548.13,774.07,2022-06-01,2023-10-05,2023-10-05
C0931,Hardik Kala,Pune,paid_search,2024-06-01,8,5,13176.32,2635.26,2024-06-30,2024-06-30,2024-06-30
C0160,Devansh Soni,Chennai,paid_search,2022-09-02,5,2,26569.29,13284.65,2022-11-05,2024-05-26,2024-05-26
C0242,Gabriel Bhatti,Chennai,email,2022-02-22,7,3,6505.17,2168.39,2022-05-17,2024-02-04,2024-02-04
C1934,Diya Wali,Pune,referral,2024-01-11,5,1,5009.76,5009.76,2024-02-10,2024-06-30,2024-06-30
C0226,Bhavika Parikh,Pune,paid_search,2023-06-28,5,2,2587.9,1293.95,2023-10-30,2024-06-30,2024-06-30
C0058,Januja Sankar,Bengaluru,organic,2023-05-14,10,6,29393.71,4898.95,2023-10-08,2024-06-30,2024-06-30
C0695,Yuvraj Gola,Jaipur,paid_search,2023-06-04,1,1,17611.05,17611.05,2024-06-30,2024-06-30,2024-06-30
C1323,Kamya Khanna,Mumbai,organic,2023-01-31,6,5,25007.88,5001.58,2023-03-14,2024-06-30,2024-06-30
C0564,Aditya Contractor,Jaipur,social_media,2022-01-17,3,2,5818.88,2909.44,2022-03-17,2022-10-24,2022-10-24
C0629,Thomas Karpe,Pune,paid_search,2023-08-10,5,3,12357.84,4119.28,2024-01-20,2024-06-30,2024-06-30
C1734,Gaurika Shetty,Hyderabad,paid_search,2024-02-04,4,2,8798.52,4399.26,2024-05-22,2024-06-30,2024-06-30
C1726,Farhan Sur,Hyderabad,social_media,2024-03-18,5,3,8810.46,2936.82,2024-06-30,2024-06-30,2024-06-30
C1104,Aarnav Soni,Ahmedabad,email,2022-06-17,6,3,10440.08,3480.03,2022-07-19,2024-03-04,2024-03-04
C1352,Imaran Kapur,Bengaluru,referral,2024-05-15,4,2,8862.68,4431.34,2024-06-30,2024-06-30,2024-06-30
C1259,Daksha Shankar,Chennai,organic,2023-11-08,6,0,0.0,,2023-11-25,2024-06-30,2024-06-30
C1313,Yug Sanghvi,Hyderabad,referral,2024-05-02,7,3,13729.52,4576.51,2024-06-30,2024-06-30,2024-06-30
C1269,Meera Yadav,Jaipur,social_media,2023-03-05,3,1,2095.92,2095.92,2023-06-17,2024-06-30,2024-06-30
C0911,Jeet Mani,Pune,organic,2022-11-21,4,3,6727.5,2242.5,2023-02-14,2024-02-07,2024-02-07
C1236,Liam Bal,Pune,paid_search,2023-01-23,10,6,33883.04,5647.17,2023-02-23,2024-06-30,2024-06-30
C1759,Anika Warrior,Pune,paid_search,2023-12-19,10,7,33559.87,4794.27,2024-02-13,2024-06-30,2024-06-30
C0777,Gauri Sibal,Bengaluru,organic,2023-07-04,7,3,7141.87,2380.62,2023-07-31,2024-06-30,2024-06-30
C1806,Aadhya Trivedi,Jaipur,email,2023-04-24,3,2,4141.9,2070.95,2024-01-18,2024-06-30,2024-06-30
C0971,Arunima Goda,Delhi,organic,2022-02-15,6,4,17296.74,4324.18,2022-03-13,2023-12-17,2023-12-17
C0811,Garima Sama,Hyderabad,referral,2022-10-24,5,4,12770.04,3192.51,2023-04-15,2024-06-30,2024-06-30
C1051,Raksha Shankar,Chennai,organic,2024-06-16,4,2,8987.48,4493.74,2024-06-30,2024-06-30,2024-06-30
C1563,Ikbal Rama,Delhi,paid_search,2023-02-03,9,2,15127.56,7563.78,2023-12-13,2024-06-30,2024-06-30
C0781,Bhanumati Konda,Mumbai,paid_search,2023-04-02,7,2,4054.02,2027.01,2023-06-15,2024-06-30,2024-06-30
C0223,Parth Shetty,Delhi,organic,2022-01-18,3,1,15471.75,15471.75,2022-12-21,2023-11-03,2023-11-03
C1468,Ekapad Mall,Ahmedabad,organic,2023-01-08,4,2,2197.5,1098.75,2023-08-20,2024-06-30,2024-06-30
C1502,Qadim Prashad,Jaipur,organic,2024-05-11,7,4,19035.59,4758.9,2024-06-30,2024-06-30,2024-06-30
C1808,Radha Mital,Jaipur,organic,2023-12-16,6,4,7095.97,1773.99,2024-01-01,2024-06-30,2024-06-30
C1862,Fitan Naik,Surat,organic,2023-05-02,6,3,10814.68,3604.89,2024-06-04,2024-06-30,2024-06-30
C0338,Yatin Borah,Surat,referral,2022-03-22,8,6,15670.86,2611.81,2022-04-11,2023-12-01,2023-12-01
C0813,Avi Mangat,Pune,organic,2023-09-05,8,4,7900.47,1975.12,2023-10-04,2024-06-30,2024-06-30
C1346,Amrita Dhar,Kolkata,paid_search,2022-09-23,3,2,4530.53,2265.27,2023-03-27,2023-05-30,2023-05-30
C0315,Varenya Kibe,Kolkata,organic,2024-05-26,7,3,7786.36,2595.45,2024-05-29,2024-06-30,2024-06-30
C1582,Yagnesh Narasimhan,Hyderabad,organic,2022-09-16,7,3,17980.51,5993.5,2023-01-19,2024-03-13,2024-03-13
C1923,Udarsh Dhawan,Mumbai,paid_search,2023-09-03,2,1,2565.39,2565.39,2024-01-14,2024-06-30,2024-06-30
C0621,Robert Bandi,Ahmedabad,email,2024-01-01,4,3,13691.88,4563.96,2024-02-05,2024-06-30,2024-06-30
C0317,Advika Parsa,Kolkata,paid_search,2024-04-10,2,1,1793.46,1793.46,2024-06-30,2024-06-30,2024-06-30
C1240,Ijaya Sangha,Chennai,email,2022-11-23,8,6,15056.03,2509.34,2023-03-27,2024-06-30,2024-06-30
C0551,Indira Srinivasan,Pune,organic,2022-03-25,3,2,6782.81,3391.41,2022-10-26,2023-12-19,2023-12-19
C1070,Jalsa Sha,Ahmedabad,referral,2023-09-23,7,4,12520.38,3130.1,2023-10-01,2024-06-30,2024-06-30
C1517,Mahika Raju,Mumbai,social_media,2022-02-25,7,5,22981.34,4596.27,2022-09-09,2023-11-16,2023-11-16
C0597,Yachana Dewan,Delhi,organic,2022-11-25,4,2,3821.0,1910.5,2024-06-30,2024-06-30,2024-06-30
C1696,Kabir Nadkarni,Hyderabad,paid_search,2022-09-27,4,3,18455.04,6151.68,2023-05-01,2024-06-30,2024-06-30
C1648,Ryan Chandra,Mumbai,referral,2023-10-15,7,5,33394.32,6678.86,2024-01-12,2024-06-30,2024-06-30
C1593,Qadim Upadhyay,Surat,social_media,2022-06-06,3,2,5335.83,2667.92,2023-02-02,2023-09-24,2023-09-24
C0024,Raksha Varughese,Ahmedabad,referral,2022-03-29,6,4,23137.95,5784.49,2022-04-22,2023-11-21,2023-11-21
C1421,Qushi Khurana,Bengaluru,referral,2022-04-13,6,3,8597.48,2865.83,2022-06-10,2023-10-04,2023-10-04
C0612,Keya Jha,Bengaluru,paid_search,2023-08-11,5,1,4887.56,4887.56,2023-12-05,2024-06-30,2024-06-30
C1853,Ayush Shan,Mumbai,social_media,2024-01-16,8,4,14119.77,3529.94,2024-06-11,2024-06-30,2024-06-30
C1961,Vedant Gaba,Kolkata,paid_search,2023-11-19,8,5,22262.02,4452.4,2024-03-14,2024-06-30,2024-06-30
C1297,Kashvi Chowdhury,Ahmedabad,email,2022-02-20,3,2,3587.98,1793.99,2023-02-23,2024-02-08,2024-02-08
C1239,Sachi Kaur,Mumbai,organic,2022-03-17,6,4,22522.37,5630.59,2022-07-25,2023-09-18,2023-09-18
C1683,Kashish Purohit,Jaipur,referral,2023-02-28,9,5,17811.81,3562.36,2023-05-14,2024-06-30,2024-06-30
C1929,Tanay Ramaswamy,Pune,organic,2023-04-17,3,3,10118.21,3372.74,2023-08-31,2024-02-28,2024-02-28
C1910,Sai Datta,Pune,social_media,2023-08-14,6,2,10541.72,5270.86,2024-01-01,2024-06-30,2024-06-30
C0693,Amaira Wadhwa,Bengaluru,paid_search,2022-11-23,5,3,14163.23,4721.08,2023-06-11,2024-06-30,2024-06-30
C0595,Krisha Radhakrishnan,Kolkata,organic,2022-03-26,8,5,15972.99,3194.6,2022-05-07,2024-02-17,2024-02-17
C1846,Henry Mammen,Mumbai,organic,2024-04-28,8,4,18223.02,4555.76,2024-05-31,2024-06-30,2024-06-30
C1025,Vanya Mital,Jaipur,email,2022-10-01,3,1,4165.2,4165.2,2022-10-15,2024-06-14,2024-06-14
C2000,Varenya Basak,Hyderabad,paid_search,2023-09-20,2,0,0.0,,2023-10-04,2024-06-30,2024-06-30
C1371,Yahvi Dyal,Pune,social_media,2023-05-15,7,5,41417.69,8283.54,2023-05-29,2024-06-30,2024-06-30
C0594,Harshil Verma,Jaipur,organic,2024-03-27,6,2,3889.9,1944.95,2024-05-13,2024-06-30,2024-06-30
C0339,Lopa Nadig,Hyderabad,paid_search,2023-09-27,4,1,10420.17,10420.17,2024-06-30,2024-06-30,2024-06-30
C1213,Keya Srivastava,Delhi,referral,2022-05-26,7,4,14529.25,3632.31,2022-06-11,2024-05-09,2024-05-09
C1451,Jeet Sethi,Ahmedabad,referral,2024-05-22,5,3,9635.13,3211.71,2024-06-30,2024-06-30,2024-06-30
C1327,Jasmit Sen,Mumbai,paid_search,2024-06-04,5,3,20768.67,6922.89,2024-06-30,2024-06-30,2024-06-30
C1408,Shravya Dass,Chennai,organic,2022-05-01,5,2,4138.59,2069.3,2022-12-06,2024-01-14,2024-01-14
C0932,Ria Chhabra,Surat,organic,2023-03-17,8,3,7536.74,2512.25,2024-02-03,2024-06-30,2024-06-30
C0293,Janaki Brahmbhatt,Ahmedabad,organic,2023-03-25,3,2,5535.21,2767.61,2023-07-07,2024-06-30,2024-06-30
C0307,Odika Mital,Chennai,social_media,2022-01-03,6,2,9772.13,4886.06,2022-06-29,2023-09-15,2023-09-15
C1393,Adya Basak,Surat,paid_search,2022-01-23,7,3,11181.34,3727.11,2022-03-18,2023-09-28,2023-09-28
C1069,Logan Purohit,Bengaluru,email,2022-08-07,4,1,2416.82,2416.82,2023-08-29,2024-01-15,2024-01-15
C0449,Kalpit Oak,Delhi,social_media,2022-02-01,6,2,14426.47,7213.24,2022-06-16,2023-04-10,2023-04-10
C1540,Bachittar Nigam,Mumbai,organic,2023-07-29,5,3,7482.79,2494.26,2024-02-26,2024-06-30,2024-06-30
C1906,Benjamin Sen,Hyderabad,paid_search,2022-07-14,4,4,11540.07,2885.02,2022-09-22,2024-02-21,2024-02-21
C1272,Gagan Kunda,Mumbai,paid_search,2024-05-24,3,2,7460.96,3730.48,2024-06-30,2024-06-30,2024-06-30
C1749,Anvi Banik,Mumbai,paid_search,2023-07-08,4,3,11927.05,3975.68,2023-09-21,2024-06-30,2024-06-30
C0030,Ikbal Kothari,Pune,paid_search,2023-02-13,7,3,15584.83,5194.94,2023-06-03,2023-10-14,2023-10-14
C1031,Hitesh Saraf,Kolkata,paid_search,2023-11-24,9,7,26042.82,3720.4,2024-01-31,2024-06-30,2024-06-30
C1379,Chaitanya Sule,Hyderabad,social_media,2023-07-01,5,4,18897.54,4724.39,2023-12-06,2024-06-30,2024-06-30
C0826,Indali Kanda,Jaipur,organic,2023-07-25,7,4,13444.59,3361.15,2023-07-30,2024-06-30,2024-06-30
C1488,Manbir Roy,Surat,email,2023-03-05,5,2,7045.99,3523.0,2023-04-17,2024-06-30,2024-06-30
C1285,Baghyawati Madan,Surat,paid_search,2023-10-01,6,3,14988.43,4996.14,2023-10-25,2024-06-30,2024-06-30
C1006,Zansi Munshi,Hyderabad,paid_search,2022-10-09,5,4,22850.53,5712.63,2022-11-01,2023-12-17,2023-12-17
C1970,Manthan Ratta,Chennai,organic,2022-06-01,7,4,5024.63,1256.16,2022-09-12,2024-03-19,2024-03-19
C1727,Bishakha Murty,Pune,paid_search,2022-08-24,2,1,1043.68,1043.68,2023-03-30,2023-09-11,2023-09-11
C0349,Eiravati Manne,Surat,paid_search,2023-01-26,4,1,631.24,631.24,2023-04-27,2023-12-15,2023-12-15
C1355,Bhavini Pall,Jaipur,referral,2022-09-22,11,7,33939.04,4848.43,2022-10-09,2024-06-30,2024-06-30
C0722,Anika Parsa,Jaipur,paid_search,2023-08-11,6,5,12364.81,2472.96,2024-02-29,2024-06-30,2024-06-30
C0225,Dayita Varma,Pune,paid_search,2023-08-19,2,1,2377.12,2377.12,2023-10-05,2024-06-30,2024-06-30
C0064,Dayita Kar,Surat,organic,2022-03-12,4,3,8360.06,2786.69,2022-07-06,2023-08-20,2023-08-20
C1978,Kabir Pingle,Mumbai,organic,2022-06-24,3,1,3558.87,3558.87,2022-07-07,2023-04-01,2023-04-01
C0637,Meera Ghosh,Jaipur,social_media,2024-06-18,2,0,0.0,,2024-06-30,2024-06-30,2024-06-30
C0286,Prisha Varma,Kolkata,referral,2024-03-02,5,5,18484.34,3696.87,2024-04-23,2024-06-30,2024-06-30
C0960,Tanish Mani,Surat,organic,2023-12-06,5,2,4932.76,2466.38,2024-01-07,2024-06-30,2024-06-30
C1260,Bishakha Dhillon,Kolkata,organic,2023-07-12,8,3,7748.95,2582.98,2024-01-02,2024-06-30,2024-06-30
C0280,Bhavna Nagi,Pune,paid_search,2023-04-27,5,3,11487.61,3829.2,2023-08-23,2024-05-23,2024-05-23
C0772,Wazir Prabhu,Surat,referral,2023-11-28,9,3,5991.89,1997.3,2024-01-24,2024-06-30,2024-06-30
C0093,Vrinda Khosla,Delhi,email,2022-04-25,7,2,6438.79,3219.4,2022-05-26,2023-04-28,2023-04-28
C0127,Caleb Nadkarni,Jaipur,paid_search,2022-11-04,6,3,5839.61,1946.54,2022-12-03,2024-06-30,2024-06-30
C1140,Anthony Goda,Hyderabad,paid_search,2023-06-27,4,4,12775.65,3193.91,2024-01-18,2024-06-30,2024-06-30
C1603,Chakrika Choudhary,Jaipur,organic,2022-05-24,6,3,11677.14,3892.38,2022-07-15,2024-05-16,2024-05-16
