customer_id,customer_name,city,acquisition_channel,segment,recency_days,frequency,total_revenue,r_score,f_score,m_score,rfm_score
C1551,Barkha Bassi,Jaipur,paid_search,Champions,1,5,12033.32,4.0,5.0,3.0,12.0
C1184,Raksha Dey,Kolkata,organic,Champions,1,3,13106.28,4.0,3.0,4.0,11.0
C0002,Gagan Sami,Kolkata,referral,At Risk,1,2,7685.89,4.0,2.0,2.0,8.0
C1721,Oeshi Dayal,Surat,paid_search,Champions,1,3,14454.66,4.0,3.0,4.0,11.0
C1348,Garima Srinivas,Hyderabad,paid_search,Champions,1,4,14453.85,4.0,4.0,4.0,12.0
C1762,Kevin Virk,Hyderabad,referral,At Risk,1,2,17365.98,4.0,2.0,4.0,10.0
C1350,Lucky Agarwal,Ahmedabad,email,Champions,1,8,23634.19,4.0,5.0,5.0,14.0
C1251,Aditya Yohannan,Kolkata,social_media,Loyal,187,7,35508.03,1.0,5.0,5.0,11.0
C0523,Harrison Kunda,Pune,email,Loyal,22,7,51172.72,2.0,5.0,5.0,12.0
C1418,Meghana Amble,Delhi,email,Loyal,152,6,14861.43,1.0,5.0,4.0,10.0
C1575,Eshana Prabhu,Jaipur,referral,Loyal,174,5,25736.07,1.0,5.0,5.0,11.0
C0894,Jackson Barman,Bengaluru,social_media,At Risk,1,2,9683.6,4.0,2.0,3.0,9.0
C0249,Shivansh Saha,Surat,organic,Champions,1,8,25660.0,4.0,5.0,5.0,14.0
C0489,Inaya Padmanabhan,Surat,paid_search,At Risk,1,3,8836.32,4.0,3.0,3.0,10.0
C0115,Nilima Nath,Delhi,referral,Loyal,168,5,30386.2,1.0,5.0,5.0,11.0
C1681,Gautam Varghese,Surat,paid_search,At Risk,1,4,5578.84,4.0,4.0,2.0,10.0
C0713,Yatin Kibe,Bengaluru,paid_search,Lost,162,2,11163.36,1.0,2.0,3.0,6.0
C1404,Rushil Palla,Delhi,social_media,Champions,1,3,22365.55,4.0,3.0,5.0,12.0
C1998,Mohammed Chakraborty,Bengaluru,organic,At Risk,1,2,12480.64,4.0,2.0,3.0,9.0
C0123,Maanav Rajagopal,Jaipur,social_media,Champions,1,4,9945.35,4.0,4.0,3.0,11.0
C0351,Triya Kadakia,Kolkata,organic,At Risk,1,2,7670.59,4.0,2.0,2.0,8.0
C1855,Nandini Pall,Chennai,organic,Champions,1,5,31385.96,4.0,5.0,5.0,14.0
C0490,Libni Bawa,Surat,social_media,Champions,1,3,24417.07,4.0,3.0,5.0,12.0
C1088,Neelima Bath,Delhi,organic,At Risk,1,1,15789.04,4.0,1.0,4.0,9.0
C1507,Chatura Chad,Chennai,social_media,Loyal,263,2,26641.88,1.0,2.0,5.0,8.0
C0723,Vihaan Rai,Pune,email,Champions,1,3,13590.9,4.0,3.0,4.0,11.0
C0963,Dhriti Iyengar,Pune,email,Loyal,31,6,27235.17,2.0,5.0,5.0,12.0
C0910,Udarsh Bala,Bengaluru,social_media,At Risk,1,3,9380.51,4.0,3.0,3.0,10.0
C1162,Dalaja Andra,Jaipur,organic,Lost,10,2,2296.97,2.0,2.0,1.0,5.0
C0331,Vaishnavi Madan,Delhi,paid_search,Champions,1,4,19457.68,4.0,4.0,5.0,13.0
C1574,Yashica Sawhney,Pune,email,At Risk,1,3,7772.57,4.0,3.0,2.0,9.0
C1389,Januja Pandit,Pune,email,Loyal,64,9,29618.84,2.0,5.0,5.0,12.0
C0914,Aashi Gaba,Bengaluru,paid_search,Lost,147,2,2389.49,1.0,2.0,1.0,4.0
C1048,Owen Thakur,Kolkata,organic,Lost,440,1,6839.6,1.0,1.0,2.0,4.0
C0426,Radhika De,Chennai,paid_search,Champions,1,7,35670.48,4.0,5.0,5.0,14.0
C0100,Vritti Chauhan,Jaipur,referral,Lost,253,1,2821.13,1.0,1.0,1.0,3.0
C1629,Max Chandran,Surat,social_media,At Risk,1,1,2604.2,4.0,1.0,1.0,6.0
C0421,Abeer Rout,Jaipur,social_media,At Risk,1,1,3248.33,4.0,1.0,1.0,6.0
C1600,Vincent Mallick,Chennai,paid_search,At Risk,1,1,19291.15,4.0,1.0,5.0,10.0
C0254,Lohit Chatterjee,Hyderabad,social_media,Lost,311,2,7316.17,1.0,2.0,2.0,5.0
C0237,Adweta Lad,Mumbai,social_media,Lost,247,2,7702.77,1.0,2.0,2.0,5.0
C1219,Xavier Sridhar,Surat,referral,At Risk,1,2,7676.16,4.0,2.0,2.0,8.0
C0730,Samaksh Devi,Hyderabad,organic,At Risk,1,1,18591.45,4.0,1.0,4.0,9.0
C0802,Mitesh Mani,Delhi,organic,Champions,1,6,15239.23,4.0,5.0,4.0,13.0
C1656,Chasmum Tella,Ahmedabad,social_media,Lost,61,2,8978.71,2.0,2.0,3.0,7.0
C0414,Vedant Upadhyay,Delhi,referral,At Risk,1,2,6514.08,4.0,2.0,2.0,8.0
C1161,Shaurya Sarna,Hyderabad,email,Champions,1,7,51592.71,4.0,5.0,5.0,14.0
C1335,Shivansh Warrior,Mumbai,paid_search,Lost,158,1,4719.72,1.0,1.0,2.0,4.0
C0549,Yauvani Mistry,Kolkata,organic,Loyal,231,3,25116.8,1.0,3.0,5.0,9.0
C0114,Arunima Golla,Jaipur,paid_search,At Risk,1,3,6636.13,4.0,3.0,2.0,9.0
C0519,Barkha Comar,Pune,referral,At Risk,1,2,6348.81,4.0,2.0,2.0,8.0
C1686,Reva Shan,Surat,paid_search,Champions,1,5,37628.02,4.0,5.0,5.0,14.0
C1470,Rachit Loke,Chennai,paid_search,Lost,116,2,5416.4,2.0,2.0,2.0,6.0
C0929,Ijaya Pandey,Mumbai,email,Champions,1,5,13535.07,4.0,5.0,4.0,13.0
C1291,Faraj Khatri,Kolkata,organic,At Risk,1,3,3882.4,4.0,3.0,1.0,8.0
C0176,Nakul Pingle,Ahmedabad,email,At Risk,1,2,5218.13,4.0,2.0,2.0,8.0
C1189,Krishna Jaggi,Jaipur,paid_search,Champions,1,5,17301.13,4.0,5.0,4.0,13.0
C0291,Theodore Deol,Mumbai,organic,Champions,1,4,10780.38,4.0,4.0,3.0,11.0
C0084,Nihal Mukhopadhyay,Jaipur,organic,Lost,173,2,7260.68,1.0,2.0,2.0,5.0
C1010,Tanvi Tailor,Jaipur,referral,Champions,1,3,13906.98,4.0,3.0,4.0,11.0
C0265,Yashica Upadhyay,Bengaluru,organic,Champions,1,4,14511.93,4.0,4.0,4.0,12.0
C1524,Yashica Vora,Jaipur,organic,Lost,21,2,10297.83,2.0,2.0,3.0,7.0
C0043,Abhiram Mistry,Mumbai,social_media,At Risk,1,2,5363.13,4.0,2.0,2.0,8.0
C1080,Aarnav Das,Chennai,social_media,At Risk,1,3,7852.39,4.0,3.0,2.0,9.0
C0168,Kavya Dua,Surat,email,Champions,1,3,18842.07,4.0,3.0,4.0,11.0
C0739,Tanvi Koshy,Surat,organic,Loyal,95,5,15465.29,2.0,5.0,4.0,11.0
C0029,Nirja Sibal,Hyderabad,social_media,At Risk,1,2,11303.71,4.0,2.0,3.0,9.0
C0865,Ethan Sinha,Mumbai,social_media,Champions,1,8,14098.82,4.0,5.0,4.0,13.0
C1821,Zaid Kara,Pune,organic,Champions,1,4,12519.56,4.0,4.0,3.0,11.0
C0686,Qasim Bahl,Jaipur,email,Champions,1,5,12806.01,4.0,5.0,3.0,12.0
C1035,Vasana Dhillon,Chennai,social_media,At Risk,1,1,2767.3,4.0,1.0,1.0,6.0
C1790,Amol Sarkar,Chennai,referral,Champions,1,5,26700.74,4.0,5.0,5.0,14.0
C1319,Omya Koshy,Bengaluru,email,Champions,1,4,23346.41,4.0,4.0,5.0,13.0
C1511,Aadi Dua,Surat,referral,Lost,270,2,1548.13,1.0,2.0,1.0,4.0
C0931,Hardik Kala,Pune,paid_search,Champions,1,5,13176.32,4.0,5.0,4.0,13.0
C0160,Devansh Soni,Chennai,paid_search,Loyal,36,2,26569.29,2.0,2.0,5.0,9.0
C0242,Gabriel Bhatti,Chennai,email,Lost,148,3,6505.17,1.0,3.0,2.0,6.0
C1934,Diya Wali,Pune,referral,At Risk,1,1,5009.76,4.0,1.0,2.0,7.0
C0226,Bhavika Parikh,Pune,paid_search,At Risk,1,2,2587.9,4.0,2.0,1.0,7.0
C0058,Januja Sankar,Bengaluru,organic,Champions,1,6,29393.71,4.0,5.0,5.0,14.0
C0695,Yuvraj Gola,Jaipur,paid_search,At Risk,1,1,17611.05,4.0,1.0,4.0,9.0
C1323,Kamya Khanna,Mumbai,organic,Champions,1,5,25007.88,4.0,5.0,5.0,14.0
C0564,Aditya Contractor,Jaipur,social_media,Lost,616,2,5818.88,1.0,2.0,2.0,5.0
C0629,Thomas Karpe,Pune,paid_search,At Risk,1,3,12357.84,4.0,3.0,3.0,10.0
C1734,Gaurika Shetty,Hyderabad,paid_search,At Risk,1,2,8798.52,4.0,2.0,3.0,9.0
C1726,Farhan Sur,Hyderabad,social_media,At Risk,1,3,8810.46,4.0,3.0,3.0,10.0
C1104,Aarnav Soni,Ahmedabad,email,Loyal,119,3,10440.08,2.0,3.0,3.0,8.0
C1352,Imaran Kapur,Bengaluru,referral,At Risk,1,2,8862.68,4.0,2.0,3.0,9.0
C1313,Yug Sanghvi,Hyderabad,referral,Champions,1,3,13729.52,4.0,3.0,4.0,11.0
C1269,Meera Yadav,Jaipur,social_media,At Risk,1,1,2095.92,4.0,1.0,1.0,6.0
C0911,Jeet Mani,Pune,organic,Lost,145,3,6727.5,1.0,3.0,2.0,6.0
C1236,Liam Bal,Pune,paid_search,Champions,1,6,33883.04,4.0,5.0,5.0,14.0
C1759,Anika Warrior,Pune,paid_search,Champions,1,7,33559.87,4.0,5.0,5.0,14.0
C0777,Gauri Sibal,Bengaluru,organic,At Risk,1,3,7141.87,4.0,3.0,2.0,9.0
C1806,Aadhya Trivedi,Jaipur,email,At Risk,1,2,4141.9,4.0,2.0,1.0,7.0
C0971,Arunima Goda,Delhi,organic,Loyal,197,4,17296.74,1.0,4.0,4.0,9.0
C0811,Garima Sama,Hyderabad,referral,Champions,1,4,12770.04,4.0,4.0,3.0,11.0
C1051,Raksha Shankar,Chennai,organic,At Risk,1,2,8987.48,4.0,2.0,3.0,9.0
C1563,Ikbal Rama,Delhi,paid_search,At Risk,1,2,15127.56,4.0,2.0,4.0,10.0
C0781,Bhanumati Konda,Mumbai,paid_search,At Risk,1,2,4054.02,4.0,2.0,1.0,7.0
C0223,Parth Shetty,Delhi,organic,Lost,241,1,15471.75,1.0,1.0,4.0,6.0
C1468,Ekapad Mall,Ahmedabad,organic,At Risk,1,2,2197.5,4.0,2.0,1.0,7.0
C1502,Qadim Prashad,Jaipur,organic,Champions,1,4,19035.59,4.0,4.0,5.0,13.0
C1808,Radha Mital,Jaipur,organic,At Risk,1,4,7095.97,4.0,4.0,2.0,10.0
C1862,Fitan Naik,Surat,organic,At Risk,1,3,10814.68,4.0,3.0,3.0,10.0
C0338,Yatin Borah,Surat,referral,Loyal,213,6,15670.86,1.0,5.0,4.0,10.0
C0813,Avi Mangat,Pune,organic,At Risk,1,4,7900.47,4.0,4.0,2.0,10.0
C1346,Amrita Dhar,Kolkata,paid_search,Lost,398,2,4530.53,1.0,2.0,1.0,4.0
C0315,Varenya Kibe,Kolkata,organic,At Risk,1,3,7786.36,4.0,3.0,2.0,9.0
C1582,Yagnesh Narasimhan,Hyderabad,organic,Loyal,110,3,17980.51,2.0,3.0,4.0,9.0
C1923,Udarsh Dhawan,Mumbai,paid_search,At Risk,1,1,2565.39,4.0,1.0,1.0,6.0
C0621,Robert Bandi,Ahmedabad,email,Champions,1,3,13691.88,4.0,3.0,4.0,11.0
C0317,Advika Parsa,Kolkata,paid_search,At Risk,1,1,1793.46,4.0,1.0,1.0,6.0
C1240,Ijaya Sangha,Chennai,email,Champions,1,6,15056.03,4.0,5.0,4.0,13.0
C0551,Indira Srinivasan,Pune,organic,Lost,195,2,6782.81,1.0,2.0,2.0,5.0
C1070,Jalsa Sha,Ahmedabad,referral,Champions,1,4,12520.38,4.0,4.0,3.0,11.0
C1517,Mahika Raju,Mumbai,social_media,Loyal,228,5,22981.34,1.0,5.0,5.0,11.0
C0597,Yachana Dewan,Delhi,organic,At Risk,1,2,3821.0,4.0,2.0,1.0,7.0
C1696,Kabir Nadkarni,Hyderabad,paid_search,Champions,1,3,18455.04,4.0,3.0,4.0,11.0
C1648,Ryan Chandra,Mumbai,referral,Champions,1,5,33394.32,4.0,5.0,5.0,14.0
C1593,Qadim Upadhyay,Surat,social_media,Lost,281,2,5335.83,1.0,2.0,2.0,5.0
C0024,Raksha Varughese,Ahmedabad,referral,Loyal,223,4,23137.95,1.0,4.0,5.0,10.0
C1421,Qushi Khurana,Bengaluru,referral,Lost,271,3,8597.48,1.0,3.0,2.0,6.0
C0612,Keya Jha,Bengaluru,paid_search,At Risk,1,1,4887.56,4.0,1.0,2.0,7.0
C1853,Ayush Shan,Mumbai,social_media,Champions,1,4,14119.77,4.0,4.0,4.0,12.0
C1961,Vedant Gaba,Kolkata,paid_search,Champions,1,5,22262.02,4.0,5.0,5.0,14.0
C1297,Kashvi Chowdhury,Ahmedabad,email,Lost,144,2,3587.98,1.0,2.0,1.0,4.0
C1239,Sachi Kaur,Mumbai,organic,Loyal,287,4,22522.37,1.0,4.0,5.0,10.0
C1683,Kashish Purohit,Jaipur,referral,Champions,1,5,17811.81,4.0,5.0,4.0,13.0
C1929,Tanay Ramaswamy,Pune,organic,Loyal,124,3,10118.21,2.0,3.0,3.0,8.0
C1910,Sai Datta,Pune,social_media,At Risk,1,2,10541.72,4.0,2.0,3.0,9.0
C0693,Amaira Wadhwa,Bengaluru,paid_search,Champions,1,3,14163.23,4.0,3.0,4.0,11.0
C0595,Krisha Radhakrishnan,Kolkata,organic,Loyal,135,5,15972.99,1.0,5.0,4.0,10.0
C1846,Henry Mammen,Mumbai,organic,Champions,1,4,18223.02,4.0,4.0,4.0,12.0
C1025,Vanya Mital,Jaipur,email,Lost,17,1,4165.2,2.0,1.0,1.0,4.0
C1371,Yahvi Dyal,Pune,social_media,Champions,1,5,41417.69,4.0,5.0,5.0,14.0
C0594,Harshil Verma,Jaipur,organic,At Risk,1,2,3889.9,4.0,2.0,1.0,7.0
C0339,Lopa Nadig,Hyderabad,paid_search,At Risk,1,1,10420.17,4.0,1.0,3.0,8.0
C1213,Keya Srivastava,Delhi,referral,Loyal,53,4,14529.25,2.0,4.0,4.0,10.0
C1451,Jeet Sethi,Ahmedabad,referral,At Risk,1,3,9635.13,4.0,3.0,3.0,10.0
C1327,Jasmit Sen,Mumbai,paid_search,Champions,1,3,20768.67,4.0,3.0,5.0,12.0
C1408,Shravya Dass,Chennai,organic,Lost,169,2,4138.59,1.0,2.0,1.0,4.0
C0932,Ria Chhabra,Surat,organic,At Risk,1,3,7536.74,4.0,3.0,2.0,9.0
C0293,Janaki Brahmbhatt,Ahmedabad,organic,At Risk,1,2,5535.21,4.0,2.0,2.0,8.0
C0307,Odika Mital,Chennai,social_media,Lost,290,2,9772.13,1.0,2.0,3.0,6.0
C1393,Adya Basak,Surat,paid_search,Loyal,277,3,11181.34,1.0,3.0,3.0,7.0
C1069,Logan Purohit,Bengaluru,email,Lost,168,1,2416.82,1.0,1.0,1.0,3.0
C0449,Kalpit Oak,Delhi,social_media,Loyal,448,2,14426.47,1.0,2.0,4.0,7.0
C1540,Bachittar Nigam,Mumbai,organic,At Risk,1,3,7482.79,4.0,3.0,2.0,9.0
C1906,Benjamin Sen,Hyderabad,paid_search,Loyal,131,4,11540.07,1.0,4.0,3.0,8.0
C1272,Gagan Kunda,Mumbai,paid_search,At Risk,1,2,7460.96,4.0,2.0,2.0,8.0
C1749,Anvi Banik,Mumbai,paid_search,At Risk,1,3,11927.05,4.0,3.0,3.0,10.0
C0030,Ikbal Kothari,Pune,paid_search,Loyal,261,3,15584.83,1.0,3.0,4.0,8.0
C1031,Hitesh Saraf,Kolkata,paid_search,Champions,1,7,26042.82,4.0,5.0,5.0,14.0
C1379,Chaitanya Sule,Hyderabad,social_media,Champions,1,4,18897.54,4.0,4.0,4.0,12.0
C0826,Indali Kanda,Jaipur,organic,Champions,1,4,13444.59,4.0,4.0,4.0,12.0
C1488,Manbir Roy,Surat,email,At Risk,1,2,7045.99,4.0,2.0,2.0,8.0
C1285,Baghyawati Madan,Surat,paid_search,Champions,1,3,14988.43,4.0,3.0,4.0,11.0
C1006,Zansi Munshi,Hyderabad,paid_search,Loyal,197,4,22850.53,1.0,4.0,5.0,10.0
C1970,Manthan Ratta,Chennai,organic,Loyal,104,4,5024.63,2.0,4.0,2.0,8.0
C1727,Bishakha Murty,Pune,paid_search,Lost,294,1,1043.68,1.0,1.0,1.0,3.0
C0349,Eiravati Manne,Surat,paid_search,Lost,199,1,631.24,1.0,1.0,1.0,3.0
C1355,Bhavini Pall,Jaipur,referral,Champions,1,7,33939.04,4.0,5.0,5.0,14.0
C0722,Anika Parsa,Jaipur,paid_search,Champions,1,5,12364.81,4.0,5.0,3.0,12.0
C0225,Dayita Varma,Pune,paid_search,At Risk,1,1,2377.12,4.0,1.0,1.0,6.0
C0064,Dayita Kar,Surat,organic,Lost,316,3,8360.06,1.0,3.0,2.0,6.0
C1978,Kabir Pingle,Mumbai,organic,Lost,457,1,3558.87,1.0,1.0,1.0,3.0
C0286,Prisha Varma,Kolkata,referral,Champions,1,5,18484.34,4.0,5.0,4.0,13.0
C0960,Tanish Mani,Surat,organic,At Risk,1,2,4932.76,4.0,2.0,2.0,8.0
C1260,Bishakha Dhillon,Kolkata,organic,At Risk,1,3,7748.95,4.0,3.0,2.0,9.0
C0280,Bhavna Nagi,Pune,paid_search,Loyal,39,3,11487.61,2.0,3.0,3.0,8.0
C0772,Wazir Prabhu,Surat,referral,At Risk,1,3,5991.89,4.0,3.0,2.0,9.0
C0093,Vrinda Khosla,Delhi,email,Lost,430,2,6438.79,1.0,2.0,2.0,5.0
C0127,Caleb Nadkarni,Jaipur,paid_search,At Risk,1,3,5839.61,4.0,3.0,2.0,9.0
C1140,Anthony Goda,Hyderabad,paid_search,Champions,1,4,12775.65,4.0,4.0,3.0,11.0
C1603,Chakrika Choudhary,Jaipur,organic,Loyal,46,3,11677.14,2.0,3.0,3.0,8.0
C1893,Barkha Nagi,Kolkata,social_media,Champions,1,6,29020.45,4.0,5.0,5.0,14.0
C1226,Omisha Vohra,Hyderabad,social_media,At Risk,1,1,4612.44,4.0,1.0,1.0,6.0
C0044,Nachiket Magar,Delhi,organic,Champions,1,8,35019.69,4.0,5.0,5.0,14.0
C1246,Udarsh Bhattacharyya,Bengaluru,organic,At Risk,1,1,1059.91,4.0,1.0,1.0,6.0
C0703,Jeevika Krish,Jaipur,social_media,Lost,48,1,2373.8,2.0,1.0,1.0,4.0
C0466,Ryan Chatterjee,Kolkata,organic,Champions,1,5,23752.04,4.0,5.0,5.0,14.0
C0579,Qarin Kant,Bengaluru,referral,At Risk,1,2,15059.02,4.0,2.0,4.0,10.0
C1890,Sara Dada,Bengaluru,referral,Loyal,183,3,12914.79,1.0,3.0,3.0,7.0
C0294,Nitesh Narang,Surat,referral,Champions,1,5,27295.39,4.0,5.0,5.0,14.0
C1838,Mahika Dutta,Delhi,organic,Loyal,6,7,21766.64,2.0,5.0,5.0,12.0
C1420,Atharv Dube,Chennai,paid_search,Loyal,189,5,38740.56,1.0,5.0,5.0,11.0
C1011,Samar Mander,Jaipur,referral,Loyal,76,2,14946.26,2.0,2.0,4.0,8.0
C0459,Harrison Srinivas,Pune,paid_search,Lost,248,1,1888.04,1.0,1.0,1.0,3.0
C1131,Yashica Bhagat,Surat,referral,Champions,1,6,26230.58,4.0,5.0,5.0,14.0
C1944,Brinda Chacko,Kolkata,organic,At Risk,1,1,1818.37,4.0,1.0,1.0,6.0
C1503,Dhriti Thakur,Kolkata,referral,At Risk,1,2,9902.2,4.0,2.0,3.0,9.0
C0779,Ridhi Dalal,Hyderabad,social_media,At Risk,1,1,18038.9,4.0,1.0,4.0,9.0
C0198,Nilima Nigam,Delhi,social_media,Loyal,301,2,17050.66,1.0,2.0,4.0,7.0
C0860,Bhavani Kadakia,Delhi,email,Champions,1,4,15963.27,4.0,4.0,4.0,12.0
C0840,Patrick Baral,Hyderabad,social_media,Champions,1,7,34619.56,4.0,5.0,5.0,14.0
C1097,Sanaya Chacko,Jaipur,paid_search,Loyal,45,8,44003.04,2.0,5.0,5.0,12.0
C0456,Sanya Apte,Ahmedabad,social_media,Lost,62,3,6703.28,2.0,3.0,2.0,7.0
C1038,Xavier Jaggi,Delhi,social_media,At Risk,1,1,7615.2,4.0,1.0,2.0,7.0
C1949,Chasmum Rai,Surat,social_media,Champions,1,3,15853.8,4.0,3.0,4.0,11.0
C0603,Frederick Kalita,Mumbai,organic,Champions,1,6,19410.86,4.0,5.0,5.0,14.0
C1197,Lipika Deol,Mumbai,referral,Champions,1,5,25040.5,4.0,5.0,5.0,14.0
C1457,Liam Cheema,Ahmedabad,paid_search,Champions,1,7,49287.92,4.0,5.0,5.0,14.0
C0134,Ayush Batra,Surat,social_media,Champions,1,5,22289.02,4.0,5.0,5.0,14.0
C0745,Ekiya Seshadri,Chennai,social_media,Lost,396,3,6300.39,1.0,3.0,2.0,6.0
C1703,Fitan Pal,Surat,paid_search,Loyal,219,4,17226.63,1.0,4.0,4.0,9.0
C0652,Janani Verma,Surat,organic,At Risk,1,1,4906.0,4.0,1.0,2.0,7.0
C1406,Faras Dhillon,Kolkata,referral,Loyal,113,7,34897.05,2.0,5.0,5.0,12.0
C1089,Oeshi Bajwa,Mumbai,organic,Lost,450,2,4989.5,1.0,2.0,2.0,5.0
C0872,Tristan Dixit,Delhi,email,Lost,383,1,9822.57,1.0,1.0,3.0,5.0
C1166,Daksha Chander,Hyderabad,organic,Champions,1,4,19447.84,4.0,4.0,5.0,13.0
C1248,Harini Guha,Jaipur,social_media,At Risk,1,2,5467.8,4.0,2.0,2.0,8.0
C1626,Vedhika Basak,Chennai,referral,At Risk,1,3,9270.07,4.0,3.0,3.0,10.0
C0817,Mitesh Tandon,Bengaluru,social_media,Champions,1,4,13987.84,4.0,4.0,4.0,12.0
C0460,Chaitaly Bahri,Surat,paid_search,At Risk,1,2,4280.54,4.0,2.0,1.0,7.0
C1810,Kabir Venkataraman,Surat,paid_search,At Risk,1,3,7515.0,4.0,3.0,2.0,9.0
C0938,Meghana Sarma,Kolkata,paid_search,Champions,1,4,19731.46,4.0,4.0,5.0,13.0
C0915,Ishanvi Gade,Jaipur,paid_search,At Risk,1,2,2163.46,4.0,2.0,1.0,7.0
C1413,Nicholas Sarin,Hyderabad,social_media,Champions,1,6,21187.38,4.0,5.0,5.0,14.0
C1475,Yuvraj Choudhry,Kolkata,organic,At Risk,1,3,11639.54,4.0,3.0,3.0,10.0
C0469,Rachit Sehgal,Pune,organic,Champions,1,3,27576.28,4.0,3.0,5.0,12.0
C0297,Aachal Aggarwal,Delhi,paid_search,Lost,323,2,3321.69,1.0,2.0,1.0,4.0
C1141,Hamsini Kade,Bengaluru,social_media,Loyal,149,5,22093.7,1.0,5.0,5.0,11.0
C1704,Kabir Tripathi,Hyderabad,social_media,Champions,1,8,35143.43,4.0,5.0,5.0,14.0
C1090,Om Mangal,Mumbai,email,Loyal,189,5,10379.99,1.0,5.0,3.0,9.0
C0309,Omaja Rege,Ahmedabad,referral,At Risk,1,2,10284.97,4.0,2.0,3.0,9.0
C1830,Jonathan Palan,Hyderabad,referral,At Risk,1,4,6582.81,4.0,4.0,2.0,10.0
C1484,Vedant Vohra,Surat,organic,Loyal,58,6,25965.69,2.0,5.0,5.0,12.0
C0319,Madhav Babu,Bengaluru,paid_search,Loyal,216,5,42193.17,1.0,5.0,5.0,11.0
C0748,Kritika Rai,Bengaluru,referral,At Risk,1,2,5529.13,4.0,2.0,2.0,8.0
C1281,Ladli Bal,Delhi,organic,At Risk,1,3,11637.05,4.0,3.0,3.0,10.0
C0324,Kashvi Bhasin,Chennai,paid_search,Champions,1,4,13808.64,4.0,4.0,4.0,12.0
C1653,Urvashi Kadakia,Surat,referral,At Risk,1,3,9164.55,4.0,3.0,3.0,10.0
C0001,Aryan Maharaj,Jaipur,organic,Champions,1,3,14036.24,4.0,3.0,4.0,11.0
C1579,Tanveer Radhakrishnan,Pune,organic,Champions,1,4,16723.85,4.0,4.0,4.0,12.0
